Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
scheduleMandatoryReminder,9.708,1.618,6,../../../packages/features/bookings/lib/handleNewBooking.ts:1984:37,3.862
findUsersByUsername,9.707,1.618,6,../../../packages/features/eventtypes/lib/getPublicEvent.ts:215:30,8.264
getToken,9.487,4.743,2,src/modules/auth/strategies/api-auth/api-auth.strategy.ts:60:34,9.186
getEventTypeIdsWhereUserIsAdminOrOwner,9.486,9.486,1,../../../packages/trpc/server/routers/viewer/bookings/get.handler.ts:178:74,9.486
"Identifier: Partial<Record<""number"" |",9.324,4.662,2,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:138:17,9.149
DocsPropertyOptional,9.291,0.929,10,../../../packages/platform/types/event-types/event-types_2024_06_14/inputs/create-event-type.input.ts:311:11,3.798
join,9.259,0.926,10,../../../packages/lib/CalEventParser.ts:32:22,3.906
Module,9.136,1.827,5,src/modules/organizations/organizations.module.ts:68:13,5.937
ensureNoServiceAccountKey,9.095,0.909,10,../../../packages/trpc/server/routers/viewer/domainWideDelegation/list.handler.ts:29:11,7.520
hasOwnProperty,9.091,3.030,3,../../../packages/trpc/server/routers/viewer/organizations/update.handler.ts:25:35,5.555
getVerifiedNumbers,9.080,4.540,2,../../../packages/trpc/server/routers/viewer/workflows/_router.tsx:185:11,8.808
Identifier: { kbd?: string | undefine,9.038,9.038,1,../../../packages/ui/components/dropdown/Dropdown.tsx:162:8,9.038
bulkUpdateFunction,8.995,4.498,2,../../../packages/features/eventtypes/components/BulkEditDefaultForEventsModal.tsx:50:9,7.253
"Identifier: ""h3""",8.980,4.490,2,../../../packages/platform/atoms/availability/AvailabilitySettings.tsx:629:30,5.005
warn,8.970,0.897,10,../../../packages/lib/payment/handlePayment.ts:21:22,4.867
findById,8.965,1.281,7,../../../packages/lib/server/repository/profile.ts:338:26,4.419
Identifier: { identity_provider: stri,8.959,8.959,1,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:21:45,8.959
