Function Name,Self (ms),Duration (ms),Location
toast,4.361,6.884,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:34:13
cn,4.350,4.350,src/components/description-list.tsx:7:11
forwardRef,4.332,4.332,../../packages/ui/src/dropdown-menu.tsx:174:30
Identifier: any,4.322,4.322,src/components/settings/settings.tsx:45:9
map,4.304,15.502,src/trpc/routers/scheduled-events.ts:57:13
mutate,4.303,4.303,src/components/poll/use-touch-beacon.ts:16:19
Identifier: ForwardRefExoticComponent,4.293,4.293,src/features/quick-create/quick-create-widget.tsx:70:9
updateMany,4.291,4.291,src/auth/helpers/merge-user.ts:11:26
Identifier: any,4.285,4.285,src/components/event-card.tsx:19:7
Identifier: { title: string; id: stri,4.252,4.712,src/features/quick-create/lib/get-guest-polls.ts:30:9
Identifier: any,4.249,4.249,src/features/quick-create/quick-create-widget.tsx:30:9
test,4.220,4.220,tests/authentication.spec.ts:82:12
some,4.192,5.184,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:42:68
"Identifier: (props: { i18nKey: ""menu""",4.175,4.175,src/app/[locale]/(admin)/dashboard.tsx:35:13
map,4.144,4.144,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:96:7
Identifier: ({ start }: { start: Date,4.109,4.109,src/components/poll/scheduled-event.tsx:90:13
t,4.099,4.099,src/app/[locale]/(auth)/register/verify/components/otp-form.tsx:82:7
t,4.080,4.080,src/app/[locale]/poll/[urlId]/unsubscribe-alert.tsx:22:15
Identifier: ComponentType<{ className,4.062,4.062,../../packages/ui/src/dropdown-menu.tsx:226:7
capture,4.059,4.059,src/app/[locale]/(admin)/sidebar.tsx:108:15
forwardRef,4.035,4.035,../../packages/ui/src/card.tsx:38:38
map,4.034,10.021,src/features/quick-create/quick-create-widget.tsx:48:13
array,4.030,8.671,src/components/poll/voting-form.tsx:26:9
map,4.011,4.011,src/components/forms/poll-options-form/week-calendar.tsx:46:7
map,4.003,4.003,src/app/[locale]/(admin)/settings/billing/page.tsx:202:59
